Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,3,18,00:00,UTC,-1,77,-1.5,,4.3,-7.1
2011,3,19,00:00,UTC,1.7,76,-1.2,,2.7,-4.6
2011,3,20,00:00,UTC,0.3,78,-1,,1.4,-2.6
2011,3,21,00:00,UTC,0.9,76,-0.8,,2.7,-5.3
2011,3,22,00:00,UTC,1.5,75,3.8,,7,0.6
2011,3,23,00:00,UTC,2.6,75,-0.2,,4.7,-2.3
2011,3,24,00:00,UTC,1,79,-5.2,,0.2,-8
2011,3,25,00:00,UTC,-1,78,-7.7,,-3.7,-11.2
2011,3,26,00:00,UTC,-1,77,-8.1,,-2.9,-12
2011,3,27,00:00,UTC,2.3,76,-4.3,,0,-13.3
2011,3,28,00:00,UTC,2.8,79,-3,,-1.3,-4.2
2011,3,29,00:00,UTC,-1,82,-8,,-0.2,-13.1
2011,3,30,00:00,UTC,-1,81,-9.8,,0.4,-21.6
2011,3,31,00:00,UTC,-1,81,-3.3,,4,-14.3
2011,4,1,00:00,UTC,-1,80,-1.5,,4.2,-8.7
2011,4,2,00:00,UTC,-1,79,2.4,,5.9,-1.7
2011,4,3,00:00,UTC,4.9,68,4.5,,5.6,3
2011,4,4,00:00,UTC,10.7,62,3.5,,4.4,2.7
2011,4,5,00:00,UTC,0.1,57,5.2,,9.9,2.3
2011,4,6,00:00,UTC,3.5,53,2.4,,4.7,0.7
2011,4,7,00:00,UTC,-1,49,2.2,,3.1,1.9
2011,4,8,00:00,UTC,-1,46,2.2,,5.7,0.6
2011,4,9,00:00,UTC,-1,42,2.3,,5.9,0.5
2011,4,10,00:00,UTC,-1,40,3.3,,6,1.5
2011,4,11,00:00,UTC,-1,37,2,,6.2,-1.7
2011,4,12,00:00,UTC,-1,35,3,,8.6,-1.1
2011,4,13,00:00,UTC,-1,32,4.6,,10.3,0.6
2011,4,14,00:00,UTC,-1,27,3.1,,7.5,-0.4
2011,4,15,00:00,UTC,-1,25,6,,11.7,-0.8
2011,4,16,00:00,UTC,-1,21,8.1,,13,3.5
2011,4,17,00:00,UTC,1.6,14,7.9,,11.7,4.2
2011,4,18,00:00,UTC,-1,0,4.6,,9,2.1
2011,4,19,00:00,UTC,-1,-1,2.9,,7.2,0.2
2011,4,20,00:00,UTC,2.2,-1,1.7,,6,-3.8
2011,4,21,00:00,UTC,0.1,-1,2.5,,4.8,2.1
2011,4,22,00:00,UTC,0.1,-1,4.1,,10.5,-2
2011,4,23,00:00,UTC,-1,-1,7.1,,15.4,-0.5
2011,4,24,00:00,UTC,-1,-1,8.8,,18.7,-0.6
2011,4,25,00:00,UTC,-1,-1,8.5,,16.9,0.1
2011,4,26,00:00,UTC,-1,-1,9.9,,20.8,2.5
2011,4,27,00:00,UTC,-1,-1,7.6,,13.5,2.1
2011,4,28,00:00,UTC,-1,-1,5.9,,12.6,0.2
2011,4,29,00:00,UTC,-1,-1,6.3,,12.8,-0.6
2011,4,30,00:00,UTC,-1,-1,3.5,,8,-0.7
2011,5,1,00:00,UTC,-1,-1,3.1,,7.3,-1.9
2011,5,2,00:00,UTC,-1,-1,1.8,,5.2,-1.2
2011,5,3,00:00,UTC,-1,-1,3.2,,5.3,0.8
2011,5,4,00:00,UTC,-1,-1,4.6,,8.2,1.7
2011,5,5,00:00,UTC,-1,-1,4,,7.7,1.2
2011,5,6,00:00,UTC,-1,-1,6.9,,13.2,-1.2
2011,5,7,00:00,UTC,-1,-1,8.8,,14.4,2
2011,5,8,00:00,UTC,-1,-1,10.3,,16.7,1.7
2011,5,9,00:00,UTC,-1,-1,15.1,,21.7,5.6
2011,5,10,00:00,UTC,-1,-1,12.4,,18.4,8.1
2011,5,11,00:00,UTC,0.1,-1,11.5,,17.4,2.4
2011,5,12,00:00,UTC,0.1,-1,11.1,,15,9.3
2011,5,13,00:00,UTC,-1,-1,7.9,,13.1,3.3
2011,5,14,00:00,UTC,-1,-1,7.5,,12.9,1.9
2011,5,15,00:00,UTC,-1,-1,11,,17.6,3
2011,5,16,00:00,UTC,9.1,-1,8.8,,13.5,8
2011,5,17,00:00,UTC,9.8,-1,8.9,,13.6,6.5
2011,5,18,00:00,UTC,3.6,-1,7.9,,11.6,6.2
2011,5,19,00:00,UTC,3.4,-1,9.3,,13.3,3.6
2011,5,20,00:00,UTC,-1,-1,12.8,,18.1,8.1
2011,5,21,00:00,UTC,3.4,-1,12.4,,18.6,4
2011,5,22,00:00,UTC,-1,-1,14.3,,19.7,7.7
2011,5,23,00:00,UTC,3.5,-1,14.4,,21.3,8
2011,5,24,00:00,UTC,3.2,-1,13.6,,18.2,7.9
2011,5,25,00:00,UTC,0.5,-1,11.2,,16.6,9.3
2011,5,26,00:00,UTC,-1,-1,9.4,,14.1,6.7
2011,5,27,00:00,UTC,1.5,-1,10.2,,14.6,2.5
2011,5,28,00:00,UTC,5.8,-1,11.1,,14.9,7.7
2011,5,29,00:00,UTC,0.9,-1,11.4,,15.1,8.6
2011,5,30,00:00,UTC,0.6,-1,10.7,,13.2,7.7
2011,5,31,00:00,UTC,-1,-1,16.6,,22.4,9.2
2011,6,1,00:00,UTC,2.8,-1,21,,28.8,15.2
2011,6,2,00:00,UTC,0.5,-1,14.8,,18.1,12.5
2011,6,3,00:00,UTC,-1,-1,13.6,,17.4,10.1
2011,6,4,00:00,UTC,0.6,-1,16.7,,23.6,8.8
2011,6,5,00:00,UTC,-1,-1,12.2,,18.1,8.7
2011,6,6,00:00,UTC,-1,-1,16,,21.8,7.2
2011,6,7,00:00,UTC,-1,-1,19.5,,24.6,13.1
2011,6,8,00:00,UTC,-1,-1,20.2,,26.2,13.9
2011,6,9,00:00,UTC,-1,-1,21.5,,28.7,11
2011,6,10,00:00,UTC,-1,-1,23.1,,29.7,13.6
2011,6,11,00:00,UTC,-1,-1,21.7,,27.1,18.3
2011,6,12,00:00,UTC,6.4,-1,15.8,,25.3,9.8
2011,6,13,00:00,UTC,-1,-1,10,,14.4,6.1
2011,6,14,00:00,UTC,6.6,-1,9.8,,12.7,8.9
2011,6,15,00:00,UTC,-1,-1,13.7,,18.3,8.8
2011,6,16,00:00,UTC,0.2,-1,14.9,,19.7,9.2
2011,6,17,00:00,UTC,0.4,-1,15.4,,20.9,9.9
2011,6,18,00:00,UTC,1.9,-1,14.7,,18,12.3
2011,6,19,00:00,UTC,4.6,-1,15.7,,19,11.8
2011,6,20,00:00,UTC,5.8,-1,14.1,,17.6,11.9
2011,6,21,00:00,UTC,4.1,-1,13.5,,18.3,11.6
2011,6,22,00:00,UTC,2.6,-1,15.7,,20.1,11.2
2011,6,23,00:00,UTC,3.6,-1,16.2,,18.8,11.6
2011,6,24,00:00,UTC,-1,-1,15.6,,19.7,12.7
2011,6,25,00:00,UTC,1.2,-1,15.3,,19,12.3
2011,6,26,00:00,UTC,0.3,-1,16.4,,20.2,12.4
2011,6,27,00:00,UTC,0.4,-1,17.1,,20.4,14.8
2011,6,28,00:00,UTC,-1,-1,19,,24.3,12.6
2011,6,29,00:00,UTC,-1,-1,21.8,,26.8,15
2011,6,30,00:00,UTC,-1,-1,21,,25.7,16
2011,7,1,00:00,UTC,-1,-1,24.6,,30,16.5
2011,7,2,00:00,UTC,-1,-1,23.9,,29.9,17.2
2011,7,3,00:00,UTC,4.4,-1,15.9,,24.1,12.9
2011,7,4,00:00,UTC,-1,-1,13.2,,16.6,10.5
2011,7,5,00:00,UTC,-1,-1,15.9,,20.2,11.7
2011,7,6,00:00,UTC,-1,-1,18.8,,23.1,13
2011,7,7,00:00,UTC,-1,-1,20.7,,26.9,14.4
2011,7,8,00:00,UTC,-1,-1,23,,28.8,15.3
2011,7,9,00:00,UTC,-1,-1,24.6,,28.9,18.6
2011,7,10,00:00,UTC,1,-1,21.7,,28.7,17.6
2011,7,11,00:00,UTC,1.5,-1,22.5,,27.1,17.3
2011,7,12,00:00,UTC,24.1,-1,18.6,,23.7,16.1
2011,7,13,00:00,UTC,3.3,-1,15.5,,18.4,12.8
2011,7,14,00:00,UTC,-1,-1,15.6,,19.7,12.5
2011,7,15,00:00,UTC,7.7,-1,17,,21.6,10
2011,7,16,00:00,UTC,1.4,-1,17.1,,20.6,14.6
2011,7,17,00:00,UTC,-1,-1,16.3,,18.9,14.1
2011,7,18,00:00,UTC,-1,-1,19.8,,24.6,12.2
2011,7,19,00:00,UTC,48.6,-1,20.7,,25.6,16.9
2011,7,19,05:40,UTC,,,,13,,
2011,7,20,00:00,UTC,1.1,-1,19.8,,24.3,16.6
2011,7,20,05:40,UTC,,,,14.3,,
2011,7,21,00:00,UTC,15.1,-1,21.8,,28.8,16.7
2011,7,21,05:40,UTC,,,,13.5,,
2011,7,22,00:00,UTC,-1,-1,23.9,,28.8,18.2
2011,7,22,05:40,UTC,,,,15.6,,
2011,7,23,00:00,UTC,-1,-1,24.5,,28.2,19.5
2011,7,23,05:40,UTC,,,,16.4,,
2011,7,24,00:00,UTC,1.8,-1,21.8,,26.3,18.9
2011,7,24,05:40,UTC,,,,19.8,,
2011,7,25,00:00,UTC,-1,-1,19.8,,24.3,14.4
2011,7,25,05:40,UTC,,,,10.9,,
2011,7,26,00:00,UTC,-1,-1,20.7,,24.5,16.3
2011,7,26,05:40,UTC,,,,12.9,,
2011,7,27,00:00,UTC,-1,-1,21.5,,25.9,18.8
2011,7,27,05:40,UTC,,,,16.5,,
2011,7,28,00:00,UTC,-1,-1,22.2,,26,17.7
2011,7,28,05:40,UTC,,,,15,,
2011,7,29,00:00,UTC,-1,-1,20.9,,23.8,16.4
2011,7,29,05:40,UTC,,,,13.5,,
2011,7,30,00:00,UTC,-1,-1,18.2,,22.4,15.4
2011,7,30,05:40,UTC,,,,14.2,,
2011,7,31,00:00,UTC,-1,-1,16.2,,20.5,14.4
2011,7,31,05:40,UTC,,,,11.2,,
2011,8,1,00:00,UTC,-1,-1,12.6,,16.4,10.8
2011,8,1,05:40,UTC,,,,10,,
2011,8,2,00:00,UTC,-1,-1,15.5,,20.7,9
2011,8,2,05:40,UTC,,,,5.6,,
2011,8,3,00:00,UTC,-1,-1,17.5,,22.3,11.6
2011,8,3,05:40,UTC,,,,8,,
2011,8,4,00:00,UTC,-1,-1,19.3,,23.4,14.3
2011,8,4,05:40,UTC,,,,10.4,,
2011,8,5,00:00,UTC,14.1,-1,14,,19.9,12.6
2011,8,5,05:40,UTC,,,,12.3,,
2011,8,6,00:00,UTC,2.9,-1,15.9,,19.2,12.6
2011,8,6,05:40,UTC,,,,12.1,,
2011,8,7,00:00,UTC,7.8,-1,18,,21.4,15.5
2011,8,7,05:40,UTC,,,,14.5,,
2011,8,8,00:00,UTC,0.3,-1,17.6,,20.3,15.9
2011,8,8,05:40,UTC,,,,15.1,,
2011,8,9,00:00,UTC,1.5,-1,15.1,,18.9,13.3
2011,8,9,05:40,UTC,,,,11.2,,
2011,8,10,00:00,UTC,3.3,-1,14.1,,17.2,12
2011,8,10,05:40,UTC,,,,9.3,,
2011,8,11,00:00,UTC,-1,-1,12.7,,16.7,10.5
2011,8,11,05:40,UTC,,,,10.1,,
2011,8,12,00:00,UTC,-1,-1,13,,17.8,8.7
2011,8,12,05:40,UTC,,,,5.5,,
2011,8,13,00:00,UTC,-1,-1,13.8,,19.1,8.3
2011,8,13,05:40,UTC,,,,4.9,,
2011,8,14,00:00,UTC,-1,-1,16.3,,21.6,9.5
2011,8,14,05:40,UTC,,,,6.4,,
2011,8,15,00:00,UTC,-1,-1,16.5,,21,11.6
2011,8,15,05:40,UTC,,,,7.6,,
2011,8,16,00:00,UTC,-1,-1,15.8,,18.6,15.1
2011,8,16,05:40,UTC,,,,15,,
2011,8,17,00:00,UTC,4.2,-1,14.8,,15.7,14
2011,8,17,05:40,UTC,,,,13.7,,
2011,8,18,00:00,UTC,29.5,-1,13.5,,14.9,13.2
2011,8,18,05:40,UTC,,,,13,,
2011,8,19,00:00,UTC,-1,-1,14.6,,19.5,12.6
2011,8,19,05:40,UTC,,,,12.1,,
2011,8,20,00:00,UTC,-1,-1,14.5,,17.2,11.5
2011,8,20,05:40,UTC,,,,7.9,,
2011,8,21,00:00,UTC,-1,-1,16,,19.8,11.2
2011,8,21,05:40,UTC,,,,8.6,,
2011,8,22,00:00,UTC,-1,-1,16.8,,19.9,14.2
2011,8,22,05:40,UTC,,,,11.4,,
2011,8,23,00:00,UTC,-1,-1,16.8,,19.8,14.1
2011,8,23,05:40,UTC,,,,11.6,,
2011,8,24,00:00,UTC,0.1,-1,15.6,,19.3,13.8
2011,8,24,05:40,UTC,,,,12.2,,
2011,8,25,00:00,UTC,-1,-1,15.5,,20.4,10.5
2011,8,25,05:40,UTC,,,,7.1,,
2011,8,26,00:00,UTC,-1,-1,18.9,,22.8,13.9
2011,8,26,05:40,UTC,,,,11.6,,
2011,8,27,00:00,UTC,-1,-1,20.2,,24.2,17.5
2011,8,27,05:40,UTC,,,,15.9,,
2011,8,28,00:00,UTC,-1,-1,20.1,,26,14.5
2011,8,28,05:40,UTC,,,,11,,
2011,8,29,00:00,UTC,1.2,-1,15.1,,22.7,12.8
2011,8,29,05:40,UTC,,,,10.3,,
2011,8,30,00:00,UTC,1.3,-1,13.4,,16.2,10.8
2011,8,30,05:40,UTC,,,,8,,
2011,8,31,00:00,UTC,10.6,-1,13.3,,15.6,10.9
2011,8,31,05:40,UTC,,,,7.2,,
2011,9,1,00:00,UTC,0.7,-1,13.7,,17,11.2
2011,9,1,05:40,UTC,,,,7.9,,
2011,9,2,00:00,UTC,1.2,-1,13.7,,16.4,12
2011,9,2,05:40,UTC,,,,9.9,,
2011,9,3,00:00,UTC,-1,-1,12,,14.1,11.6
2011,9,3,05:40,UTC,,,,11.1,,
2011,9,4,00:00,UTC,-1,-1,9.3,,15.1,5.4
2011,9,4,05:40,UTC,,,,1.2,,
2011,9,5,00:00,UTC,-1,-1,13.7,,19.7,6.7
2011,9,5,05:40,UTC,,,,2.5,,
