Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,3,18,00:00,UTC,-1,69,-4.1,,4.1,-13.2
2011,3,19,00:00,UTC,-1,69,-1.2,,2.9,-5
2011,3,20,00:00,UTC,-1,69,-2,,3.5,-5.4
2011,3,21,00:00,UTC,1.9,69,-2.1,,2.9,-9.1
2011,3,22,00:00,UTC,0.3,69,2,,5.6,-0.7
2011,3,23,00:00,UTC,6,67,-1.6,,3.1,-4.8
2011,3,24,00:00,UTC,2.1,77,-5.2,,-2,-8.4
2011,3,25,00:00,UTC,-1,78,-7.7,,-4.4,-15
2011,3,26,00:00,UTC,-1,75,-9.2,,-2.5,-14.7
2011,3,27,00:00,UTC,1.6,74,-7,,-0.3,-16.8
2011,3,28,00:00,UTC,4.5,72,-2.6,,0,-6
2011,3,29,00:00,UTC,-1,78,-6.3,,0,-10.3
2011,3,30,00:00,UTC,-1,77,-8,,-0.2,-15.6
2011,3,31,00:00,UTC,-1,76,-8.2,,2.3,-20
2011,4,1,00:00,UTC,-1,76,-3.4,,4,-10.8
2011,4,2,00:00,UTC,-1,75,0.9,,4.6,-7.3
2011,4,3,00:00,UTC,4.3,69,2.6,,3.6,2
2011,4,4,00:00,UTC,14.1,63,2.6,,3.3,1.8
2011,4,5,00:00,UTC,-1,60,2.7,,6,1.1
2011,4,6,00:00,UTC,2.5,57,1.2,,3.2,-1
2011,4,7,00:00,UTC,-1,55,1.5,,2.6,0.5
2011,4,8,00:00,UTC,-1,49,2.1,,4.5,0.7
2011,4,9,00:00,UTC,-1,43,3,,5.1,1.2
2011,4,10,00:00,UTC,-1,39,2.7,,5.6,1.7
2011,4,11,00:00,UTC,-1,36,1.3,,6.3,-3.8
2011,4,12,00:00,UTC,-1,34,0.9,,6.9,-3.7
2011,4,13,00:00,UTC,-1,32,1.7,,8.5,-4.8
2011,4,14,00:00,UTC,-1,31,0.2,,5.8,-4.2
2011,4,15,00:00,UTC,-1,30,3.4,,8.2,-2.3
2011,4,16,00:00,UTC,-1,29,4.8,,9.1,1.3
2011,4,17,00:00,UTC,1,25,4.1,,8.5,0.7
