Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,2,17,06:00,UTC,,,,,,
2011,2,18,00:00,UTC,-1,53,-26.9,,-21.6,-31.7
2011,2,18,06:00,UTC,,,,,,
2011,2,19,00:00,UTC,-1,53,-19.1,,-12.7,-26
2011,2,19,06:00,UTC,,,,,,
2011,2,20,00:00,UTC,-1,52,-18.3,,-14,-21.3
2011,2,20,06:00,UTC,,,,,,
2011,2,21,00:00,UTC,-1,52,-19.1,,-14.9,-24.7
2011,2,21,06:00,UTC,,,,,,
2011,2,22,00:00,UTC,-1,54,-16.9,,-13.1,-19.8
2011,2,22,06:00,UTC,,,,,,
2011,2,23,00:00,UTC,-1,54,-20.8,,-16,-25
2011,2,23,06:00,UTC,,,,,,
2011,2,24,00:00,UTC,-1,53,-21.9,,-17,-26.1
2011,2,24,06:00,UTC,,,,,,
2011,2,25,00:00,UTC,0.7,53,-13.9,,-9.2,-23
2011,2,25,06:00,UTC,,,,,,
2011,2,26,00:00,UTC,-1,54,-3.5,,0.1,-9.4
2011,2,26,06:00,UTC,,,,,,
2011,2,27,00:00,UTC,-1,54,-0.5,,1,-2.7
2011,2,27,06:00,UTC,,,,,,
2011,2,28,00:00,UTC,-1,53,-2.8,,0.8,-4.7
2011,2,28,06:00,UTC,,,,,,
2011,3,1,00:00,UTC,-1,53,-6.4,,-2.2,-13.3
2011,3,1,06:00,UTC,,,,,,
2011,3,2,00:00,UTC,-1,52,0.8,,3.8,-4.7
2011,3,2,06:00,UTC,,,,,,
2011,3,3,00:00,UTC,1.3,52,0.9,,3.4,-3.2
2011,3,3,06:00,UTC,,,,,,
2011,3,4,00:00,UTC,-1,52,0.1,,4.7,-4.3
2011,3,4,06:00,UTC,,,,,,
2011,3,5,00:00,UTC,-1,52,-3.1,,-0.3,-6.4
2011,3,5,06:00,UTC,,,,,,
2011,3,6,00:00,UTC,-1,52,-8.1,,-1.1,-10.9
2011,3,6,06:00,UTC,,,,,,
2011,3,7,00:00,UTC,-1,51,-3.1,,0.9,-13.1
2011,3,7,06:00,UTC,,,,,,
2011,3,8,00:00,UTC,-1,51,1.9,,6.3,-1
2011,3,8,06:00,UTC,,,,,,
2011,3,9,00:00,UTC,1.8,51,-0.2,,1.5,-2.7
2011,3,9,06:00,UTC,,,,,,
2011,3,10,00:00,UTC,8.1,52,-0.2,,1.8,-1
2011,3,10,06:00,UTC,,,,,,
2011,3,11,00:00,UTC,8,65,-0.2,,1.4,-2.1
2011,3,11,06:00,UTC,,,,,,
2011,3,12,00:00,UTC,-1,69,-7.8,,-0.3,-11.3
2011,3,12,06:00,UTC,,,,,,
2011,3,13,00:00,UTC,1.6,67,-6.4,,-1.5,-14.8
2011,3,13,06:00,UTC,,,,,,
2011,3,14,00:00,UTC,3.8,67,-4.9,,-1.1,-6.9
2011,3,14,06:00,UTC,,,,,,
2011,3,15,00:00,UTC,-1,67,-10.9,,-3.5,-17.1
2011,3,15,06:00,UTC,,,,,,
2011,3,16,00:00,UTC,-1,66,-7.1,,1.4,-17.1
2011,3,16,06:00,UTC,,,,,,
2011,3,17,00:00,UTC,-1,66,-4.6,,1.7,-12.1
2011,3,17,06:00,UTC,,,,,,
2011,3,18,00:00,UTC,-1,65,-1.7,,2.8,-7.4
2011,3,18,06:00,UTC,,,,,,
2011,3,19,00:00,UTC,2.4,64,-1.8,,-0.2,-2.5
2011,3,19,06:00,UTC,,,,,,
2011,3,20,00:00,UTC,-1,66,-3.3,,2,-8.5
2011,3,20,06:00,UTC,,,,,,
2011,3,21,00:00,UTC,0.5,65,2.2,,6.6,-2.6
2011,3,21,06:00,UTC,,,,,,
2011,3,22,00:00,UTC,-1,61,2.7,,5.1,-1.5
2011,3,22,06:00,UTC,,,,,,
2011,3,23,00:00,UTC,-1,58,-3,,1.3,-9.3
2011,3,23,06:00,UTC,,,,,,
2011,3,24,00:00,UTC,-1,58,-6.6,,-1.6,-12.2
2011,3,24,06:00,UTC,,,,,,
2011,3,25,00:00,UTC,-1,58,-9.4,,-4.5,-12.9
2011,3,25,06:00,UTC,,,,,,
2011,3,26,00:00,UTC,-1,58,-6.4,,-1.8,-11.2
2011,3,26,06:00,UTC,,,,,,
2011,3,27,00:00,UTC,-1,58,-6.2,,-1,-14
2011,3,27,06:00,UTC,,,,,,
2011,3,28,00:00,UTC,-1,57,-6.6,,-2.7,-8.9
2011,3,28,06:00,UTC,,,,,,
2011,3,29,00:00,UTC,-1,57,-9.3,,0.6,-19
2011,3,29,06:00,UTC,,,,,,
2011,3,30,00:00,UTC,-1,58,-11.3,,-3.6,-19.4
2011,3,30,06:00,UTC,,,,,,
2011,3,31,00:00,UTC,-1,58,-5.5,,1.5,-13.9
2011,3,31,06:00,UTC,,,,,,
2011,4,1,00:00,UTC,-1,58,-1.1,,4.5,-9.4
2011,4,1,06:00,UTC,,,,,,
2011,4,2,00:00,UTC,1.8,57,1.9,,3.8,0.2
2011,4,2,06:00,UTC,,,,,,
2011,4,3,00:00,UTC,0.1,51,4.5,,7.2,1.8
2011,4,3,06:00,UTC,,,,,,
2011,4,4,00:00,UTC,1,41,2.4,,5.9,0.7
2011,4,4,06:00,UTC,,,,,,
2011,4,5,00:00,UTC,1.2,37,3.2,,8.3,0.7
2011,4,5,06:00,UTC,,,,,,
2011,4,6,00:00,UTC,3.6,32,1.1,,2.9,-2
2011,4,6,06:00,UTC,,,,,,
2011,4,7,00:00,UTC,-1,30,1.8,,6.2,0.1
2011,4,7,06:00,UTC,,,,,,
2011,4,8,00:00,UTC,-1,29,0.7,,2.3,-1.7
2011,4,8,06:00,UTC,,,,,,
2011,4,9,00:00,UTC,-1,27,1.9,,6.4,-2
2011,4,9,06:00,UTC,,,,,,
2011,4,10,00:00,UTC,-1,26,1.2,,4.5,-0.8
2011,4,10,06:00,UTC,,,,,,
2011,4,11,00:00,UTC,-1,24,0.9,,2.4,-1.8
2011,4,11,06:00,UTC,,,,,,
2011,4,12,00:00,UTC,-1,23,2.4,,5.1,0.5
2011,4,12,06:00,UTC,,,,,,
2011,4,13,00:00,UTC,1.9,21,0.6,,2.7,-0.2
2011,4,13,06:00,UTC,,,,,,
2011,4,14,00:00,UTC,-1,20,1.4,,8,-2.1
2011,4,14,06:00,UTC,,,,,,
2011,4,15,00:00,UTC,-1,18,3.5,,9,-2.8
2011,4,15,06:00,UTC,,,,,,
2011,4,16,00:00,UTC,-1,15,5.8,,9.3,3
2011,4,16,06:00,UTC,,,,,,
2011,4,17,00:00,UTC,-1,8,6.1,,10.5,2.8
2011,4,17,06:00,UTC,,,,,,
2011,4,18,00:00,UTC,-1,-1,4.3,,7.8,2.1
2011,4,18,06:00,UTC,,,,,,
2011,4,19,00:00,UTC,0.6,-1,1.6,,6.7,-1.1
2011,4,19,06:00,UTC,,,,,,
